2010;Inserting rhetorical predicates for quasi-abstractive summarization; machine learning 
2014;Load Balancing for Imbalanced Data Sets: Classifying Scientific Artefacts for Evidence Based Medicine; machine learning 
2012;UNT: A Supervised Synergistic Approach to Semantic Text Similarity; machine learning 
2000;Conceptual Indexing: Practical Large-Scale AI for Efficient Information Access; AI 
2007;Adaptive localization in a dynamic WiFi environment through multi-view learning; AI  machine learning 
2013;Polarity trend analysis of public sentiment on YouTube; machine learning 
2004;Machine learning for adaptive image interpretation; AI 
2010;False-positive reduction in computer-aided detection of polyps in CT colonography: a massive-training support vector regression approach; artificial neural network 
2007;A Clustering Algorithm for Predicting CardioVascular Risk; machine learning 
1979;S-NET: a foundation for knowledge representation languages; AI 
2012;A comparison between cognitive and AI models of blackjack strategy learning; AI 
2012;New machine learning algorithm: random forest; machine learning 
2005;Synthesis of Multiple Answer Evaluation Measures using a Machine Learning Technique for a QA System; machine learning 
2013;Extraction of Statements in News for a Media Response Analysis; machine learning 
2013;LOG FILE ANALYSIS WITH CONTEXT-FREE GRAMMARS; machine learning 
2012;Natural language interfaces to data services; machine learning 
2012;Combining Classifiers for Spam Detection; machine learning 
2014;Multi-sensor Based Gestures Recognition with a Smart Finger Ring; machine learning 
2005;Learning Semantic Annotations for Textual Cases; machine learning 
2000;SPATH : an adaptive web-based learning system; AI 
2011;Pi-Sigma Neural Network for Temperature Forecasting in Batu Pahat; artificial neural network 
2000;The emergence of grammar in communicating autonomous robotic agents; Artificial Intelligence 
2007;Classification of CT brain images of head trauma; machine learning 
2014;Effect of Choice of Discretization Methods on Context Extraction from Sensor Data --- An Empirical Evaluation; machine learning 
2010;Neurons and Symbols: A Manifesto; machine learning 
2014;Distributed Stochastic Gradient MCMC; machine learning 
2012;FORESTS OF LATENT TREE MODELS FOR THE DETECTION OF GENETIC ASSOCIATIONS; machine learning 
2007;Quantifying effect-specific mammographic density; machine learning 
2003;Two Expert Diagnosis Systems for SMEs: From Database-Only Technologies to the Unavoidable Addition of AI Techniques; AI 
2012;A simulated annealing based approach to the high school timetabling problem; Artificial Intelligence 
2014;Knowledge Discovery and Data Mining in Biomedical Informatics: The Future Is in Integrative, Interactive Machine Learning Solutions; machine learning 
2011;A Sparse Algorithm of General Neural Network Model; artificial neural network 
2008;Pattern recognition techniques for image and video post-processing: specific application to image interpolation; machine learning 
1997;Mining for causes of cancer: machine learning experiments at various levels of detail; machine learning 
2011;Extending adaboost to iteratively vary its base classifiers; machine learning 
2012;User Edits Classification Using Document Revision Histories; machine learning 
2010;Automatic discriminative measurement of voice onset time; machine learning 
2011;Digital improvisational theatre: party quirks; AI 
2011;Topos 2: spiking neural networks for bipedal walking in humanoid robots; AI 
1994;Fuzzy Relational Model with 3-D Structural Information of Objects.; machine learning 
2007;Combining linguistic indexes to improve the performances of information retrieval systems: a machine learning based solution; machine learning 
2009;Using Dependency Parsing and Machine Learning for Factoid Question Answering on Spoken Documents; machine learning 
2013;Detection of spam tipping behaviour on foursquare; machine learning 
2008;Spontaneous pain expression recognition in video sequences; machine learning 
2012;Predicting good propagation methods for constraint satisfaction; machine learning 
1993;Building models to support synthesis in early stage product design; machine learning 
2012;Optimisation of ensemble classifiers using genetic algorithm; machine learning 
1991;Teaching diagnostic skills using AI: an architecture suitable for students and teachers; AI 
2009;Confidence-based Tuning of Nomogram Predictions; machine learning 
2012;MADAM: a multi-level anomaly detector for android malware; machine learning 
2011;A robust face recognition through statistical learning of local features; machine learning 
2010;DATA MINING THE GALAXY ZOO MERGERS; machine learning 
2012;The role of facial regions in evaluating social dimensions; machine learning 
2012;Retrieving informative content from web pages with conditional learning of support vector machines and semantic analysis; machine learning 
1997;Autonomous discovery of reliable exception rules; machine learning 
1986;Constructing and refining causal explanations from an inconsistent domain theory; machine learning 
2007;Intelligent Tutoring Systems using Reinforcement Learning to teach Autistic Students; Artificial Intelligence 
2007;Transferring learned control-knowledge between planners; AI 
2011;Towards heuristic algorithmic memory; machine learning 
1991;Proof transformation with built-in equality predicate; AI 
2008;Morphology Driven Manipuri POS Tagger; machine learning 
2011;EEG classification with BSA spike encoding algorithm and evolving probabilistic spiking neural network; machine learning 
1994;Risk-Sensitive Planning with Probabilistic Decision Graphs; AI 
1994;DICE: a discovery environment integrating inductive bias; machine learning 
2013;Evasion Attacks against Machine Learning at Test Time; machine learning 
2003;Does a new simple Gaussian weighting approach perform well in text categorization; machine learning 
2011;Decision tree-based algorithms for implementing bot AI in UT2004; AI 
2013;A Combination of Hand-Crafted and Hierarchical High-Level Learnt Feature Extraction for Music Genre Classification; deep learning 
2012;Logical Differential Prediction Bayes Net, improving breast cancer diagnosis for older women.; machine learning 
2012;A system for epileptic seizure focus detection based on EEG analysis; machine learning 
1998;Multistrategy learning approaches to generate and tune fuzzy control structures and their application in manufacturing; artificial neural network  machine learning 
2010;Agent composition synthesis based on ATL; AI 
2006;Automated Mentoring for Reflection in an Eportfolio; deep learning 
2013;Identifying dynamic data structures by learning evolving patterns in memory; machine learning 
2014;Computational Audio Analysis (Dagstuhl Seminar 13451); machine learning 
2013;Visual Data Mining Methods for Kernel Smoothed Estimates of Cox Processes; machine learning 
2014;Drug-Target Interaction Prediction Using Semantic Similarity and Edge Partitioning; machine learning 
2012;Semantic query answering in digital libraries; machine learning 
2006;Coordination through Inductive Meaning Negotiation; Artificial Intelligence 
2012;Multiparametric interfaces for fine-grained control of digital music; machine learning 
2007;Act local, think global: width notions for tractable planning; AI 
2013;Performance of different techniques applied in genetic algorithm towards benchmark functions; Artificial Intelligence 
1999;Case-based explanation of non-case-based learning methods.; machine learning 
2011;Context-sensitive affect sensing and metaphor identification in virtual drama; AI 
2012;Combining static and dynamic models for boosting forward planning; AI 
2013;Time, Trust and Normative Change. On Certain Sources of Complexity in Judicial Decision-Making; AI 
2004;A maximum entropy approach to biomedical named entity recognition; machine learning 
2003;Hybrid Intelligence for Driver Assistance; AI  machine learning 
1996;Path-based rules in object-oriented programming; AI 
2004;Lakatos-style automated theorem modification; machine learning 
1985;In defense of probability; AI 
2013;Repairing Disengagement in Collaborative Dialogue for Game-Based Learning; AI 
2011;Localization of the Lumbar discs using machine learning and exact probabilistic inference; machine learning 
2012;Investigation of random subspace and random forest regression models using data with injected noise; machine learning 
2013;Topic Model Kernel: An Empirical Study towards Probabilistically Reduced Features for Classification; machine learning 
2012;SUPPORTERS IN DEED - STUDYING ONLINE SUPPORT PROVISION FROM THE PERSPECTIVE OF SOCIAL CAPITAL; machine learning 
2007;Can Semantic Roles Generalize Across Genres; machine learning 
2012;SURFACE EMG CLASSIFICATION FOR PROSTHESIS CONTROL - Fuzzy Logic vs. Artificial Neural Network; artificial neural network 
2011;Non-destructive detection of hollow heart in potatoes using hyperspectral imaging; Artificial Intelligence 
2008;GeoKernels: Modeling of Spatial Data on GeoManifolds; machine learning 
2012;Combining structured and unstructured knowledge sources for question answering in watson; Artificial Intelligence 
1992;Real-time metareasoning with dynamic trade-off evaluation; AI 
2004;Rule Based Neural Networks Construction for Handwritten Arabic City-Names Recognition; artificial neural network 
2011;Coordinating logistics operations with privacy guarantees; AI 
2014;A Framework for Data Mining in Wind Power Time Series; machine learning 
2011;The Self-Supervising Machine; machine learning 
2012;The bitvector machine: a fast and robust machine learning algorithm for non-linear problems; machine learning 
2009;Analyzing Interactive QA Dialogues Using Logistic Regression Models; machine learning 
2006;A comparative study of supervised learning as applied to acronym expansion in clinical reports.; machine learning 
1995;Machine Learning of Natural Language: Problems and Prospects; machine learning 
2010;Towards an Empirically Motivated Typology of Follow-Up Questions: The Role of Dialogue Context; machine learning 
2011;Identifying relevant youtube comments to derive socially augmented user models: a semantically enriched machine learning approach; machine learning 
2006;Cognitive learning with automatic goal acquisition; machine learning 
2008;Strategyproof classification under constant hypotheses: a tale of two functions; machine learning 
2006;Tensor embedding methods; machine learning 
