2013;Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map
2011;A methodology for the physically accurate visualisation of roman polychrome statuary
2009;Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction
2013;Identifying Psychological Theme Words from Emotion Annotated Interviews
2002;Multisymplectic Spectral Methods for the Gross-Pitaevskii Equation
1991;Relational Abstract Interpretation of Higher Order Functional Programs (extended abstract)
1979;Speech training systems using lateral shapes of vocal tract and F1-F2 diagram for hearing-impaired children
2008;Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices
2004;Link-time compaction of MIPS programs
2008;Leveraging legacy code to deploy desktop applications on the web
2013;A pedestrian navigation method for user's safe and easy wayfinding
2004;Word pairs in language modeling for information retrieval
2012;Leakage-Resilient spatial encryption
2011;On system rollback and totalized fields: An algebraic approach to system change
2012;Model-Driven Strategic Awareness: From a Unified Business Strategy Meta-Model (UBSMM) to Enterprise Architecture
2000;FTP Mirror Tracker: A Few Steps Towards URN
2014;Information Systems Uncertainty Design and Implementation Combining: Rough, Fuzzy, and Intuitionistic Approaches
2013;Breast Cancer Identification Based on Thermal Analysis and a Clustering and Selection Classification Ensemble
2008;Automated Object Identification and Position Estimation for Airport Lighting Quality Assessment
2013;Quality Assessment on User Generated Image for Mobile Search Application
2012;Traveling wave solutions of the n-dimensional coupled Yukawa equations
2011;Multi-layer topology preserving mapping for K-means clustering
1981;A general semantic analyser for data base access
2014;Interval Abstraction Refinement for Model Checking of Timed-Arc Petri Nets
2003;Kernel PLS variants for regression
2013;Two notes from experimental study on image steganalysis
2014;Experimental Validation of a Rapid, Adaptive Robotic Assessment of the MCP Joint Angle Difference Threshold
2015;Monetization as a Motivator for the Freemium Educational Platform Growth
1979;Learning of abstractions from structural descriptions of pictures
2013;Hypergraph Transversal Computation with Binary Decision Diagrams
2012;A Comparative Study of Scrum and Kanban Approaches on a Real Case Study Using Simulation
2011;Acquiring entailment pairs across languages and domains: a data analysis
2013;The role of the community in a technical support community: a case study
2012;PSO-Based Design of RF Integrated Inductor
2014;Context-Aware Staged Configuration of Process Variants@Runtime
2012;GTP supertrees from unrooted gene trees: linear time algorithms for NNI based local searches
2012;Distributed computing in sensor networks using multi-agent systems and code morphing
2008;Electronic Medical Record (EMR) Utilization for Public Health Surveillance
2015;Towards intelligent distributed computing : cell-oriented computing
2011;Improving the optimal bounds for black hole search in rings
2012;WorkCellSimulator: a 3d simulator for intelligent manufacturing
2014;How Preprocessing Affects Unsupervised Keyphrase Extraction
2011;COCA filters: co-occurrence aware bloom filters
2005;SPIN Query Tools for De-identified Research on a Humongous Database
2003;AST Pre-Processing For The Sliding Window Method Using Genetic Algorithms.
2008;Robustness of prosodic features to voice imitation
2001;PIQASso: PIsa Question Answering System
2012;Sleep musicalization: automatic music composition from sleep measurements
2012;A Distributed Dynamic Mobility Architecture with Integral Cross-Layered and Context-Aware Interface for Reliable Provision of High Bitrate mHealth Services
2008;Des séquences aux tendances.
2011;Traffic observation and situation assessment
2013;"Structure and Practice of ""Four in One"" Hybrid-Practice Teaching Mode"
2001;Mobilizing the semantic web with DAML-enabled web services
2014;Exponentially Smoothed Interactive Gaze Tracking Method
1990;Search lessons learned from crossword puzzles
1993;On the structure of recognizable languages of dependence graphs
2003;All brutes are Subhuman: Aristotle and Ockham on private negation
2005;On The Generalization of Fuzzy Rough Approximation Based on Asymmetric Relation
1985;On Lascar rank in non-multidimensional omega-stable theories.
2013;Soft Systems Methodology for Hard Systems Engineering - The Case of Information Systems Development at LIT/INPE/BRAZIL
2011;Receive antenna selection for uplink multiuser MIMO systems over correlated rayleigh fading channels
2011;Optional finer granularity in an open learner model
2010;Engaging learning groups using Social Interaction Strategies
2012;Simultaneously resettable arguments of knowledge
2006;Model Development in the UML-based Specification Environment (USE)
2013;A Scientometrics Study of Rough Sets in Three Decades
2010;Attaching multiple personal identifiers in X.509 digital certificates
2001;Noise Robust Feature Extraction for ASR using the Aurora 2 Database
2011;Fully utilize feedbacks: language model based relevance feedback in information retrieval
2014;Teaching and Learning in Technical IT Courses
2014;Ontology as a Source for Rule Generation
2014;High Dimensional Search Using Polyhedral Query
2013;Automatic pipeline construction for real-time annotation
2004;Improving the Forward Chaining Algorithm for Conceptual Graphs Rules
2012;Fusion of local features for face recognition by multiple least square solutions
2006;Ehipasiko: A Content-based Image Indexing and Retrieval System
2012;Semantic Alliance: a framework for semantic allies
2005;Towards an Organizational MAS Methodology
2005;A 2.7 Gcps and 7-Multiplexing CDMA Serial Communication Chip for Real-Time Robot Control with Multiprocessors
2012;Integrating provenance into an operational data product information system
2011;Querying in spaces of music information
2013;Agricultural Knowledge Management Systems in Practice: The Ability to Support Wereda Knowledge Centers in Ethiopia
2007;Learning to Merge Word Senses
2012;Optimizing Network Patching Policy Decisions
2012;A streaming digital ink framework for multi-party collaboration
1992;Normalization of place/transition-systems preserves net behaviour
2012;Precision and negative predictive value of links between ClinicalTrials.gov and PubMed.
2001;Machine learning for information extraction from XML marked-up text on the semantic web
2002;Authentication Services in Mobile Networks
2011;Fuzzy clustering of the self-organizing map: some applications on financial time series
2011;Re-grasping: improving capability for multi-arm-robot-system by dynamic reconfiguration
2010;Modeling, Simulation, and Optimization of Supply Chains: A Continuous Approach
2012;Empirical assessment of business model transformations based on model simulation
2008;Cooperation between the Inference System and the Rule Base by Using Multiobjective Genetic Algorithms
2012;A type-theoretical approach for ontologies: The case of roles
2009;Two Stage Demosaicing Algorithm for Color Filter Arrays
2013;Dot, line, network: helping individuals make sense of New data
2004;Mapping the Information System Development Process
2011;Visualizing patterns in the air quality in mexico city with self-organizing maps
2011;Syntactic complexity of Prefix-, Suffix-, and Bifix-free regular languages
2002;QoS Signaling for Parameterized Traffic in IEEE 802.11e Wireless LANs
2011;Asynchronous replication for evolutionary database development: a design for the experimental assessment of a novel approach
2007;A compiler framework for supporting speculative multicore processors
1999;A tool for solving differential games with co-evolutionary algorithms
2000;Real-Time Application Domain Visionaries
2001;Enabling multi-use, multi-tool models of manufacturing systems through an experimental frame expert system
2014;Fast semi-supervised segmentation of in-situ tree color images
2012;Age-Related changes in vertebral morphometry by statistical shape analysis
2008;Rapid parallel systems deployment: techniques for overnight clustering
2007;The role of help in Classical and Quantum Zero-Knowledge
2014;A Roadmap for Navigating the Life Sciences Linked Open Data Cloud
2012;Integrated placement and optimization flow for structured and regular logic
2014;A Minimum Description Length Technique for Semi-Supervised Time Series Classification
2012;Performance evaluation of OpenMP and CUDA on multicore systems
